pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
C,Dom,2930,64.1,32.7,3.5,73.6,1939.1,353.5,85.1
C,Int,29,48.3,41.4,2.9,52.2,2471.6,439.2,97.9
INF,Dom,3848,58.7,33.0,3.3,76.2,2245.0,374.0,92.4
INF,Int,37,59.5,32.4,3.2,67.3,2985.9,394.3,95.9
OF,Dom,4015,61.9,33.1,3.4,80.3,2052.2,365.6,87.7
OF,Int,27,63.0,37.0,6.4,178.2,3527.3,535.4,132.6
P,Dom,4626,62.6,33.0,3.5,78.5,2154.6,366.6,88.1
P,Int,69,49.3,37.7,3.5,121.2,3914.7,525.9,136.0
UTIL,Dom,312,62.2,34.0,2.8,80.8,1557.4,330.9,94.2
