pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
D,Dom,10480,70.4,29.7,3.7,72.6,1297.3,563.2,111.2
D,Int,1737,66.6,34.4,4.8,91.0,3396.3,891.9,140.4
F,Dom,10020,69.7,31.0,3.9,73.2,1406.9,569.3,109.3
F,Int,1484,66.1,34.9,4.8,83.4,3194.7,830.1,134.4
GK,Dom,4150,69.8,31.3,3.8,73.6,1417.0,578.2,113.2
GK,Int,560,63.6,34.3,5.0,92.6,3523.1,918.5,138.7
M,Dom,12713,70.5,30.0,3.7,71.0,1126.1,552.1,107.7
M,Int,2126,66.7,34.1,4.8,86.3,3308.8,946.5,139.3
