position,n_total,n_intl,intl_pct,top_countries,top_region,reg_HHI
P,17018,335,2.0,"CAN 201, JPN 21, AUS 16",NA (60%),0.412
INF,5647,122,2.2,"CAN 69, VEN 8, JPN 7",NA (57%),0.385
OF,5008,98,2.0,"CAN 69, DOM 6, JPN 4",NA (70%),0.526
C,3569,86,2.4,"CAN 52, VEN 10, AUS 6",NA (60%),0.429
UTIL,184,2,1.1,"MEX 1, CAN 1",LAC (50%),0.5
