position,n_total,n_intl,intl_pct,top_countries,top_region,reg_HHI
P,4708,72,1.5,"CAN 57, AUS 7, PER 1",NA (79%),0.64
OF,4060,32,0.8,"CAN 27, GBR 2, AUS 1",NA (84%),0.723
INF,3900,39,1.0,"CAN 26, AUS 3, BHS 2",NA (67%),0.473
C,2969,32,1.1,"CAN 28, FRA 2, GEO 1",NA (88%),0.775
UTIL,313,0,0.0,,-,
