k,beta,se,p,N
-3,0.07396750038354469,0.04594187963222381,0.10739275205639381,60
-2,-0.08883701054155176,0.0770914488668893,0.24917365821554083,55
-1,0.0,0.0,,118
0,0.1380958580976895,0.03625806399897351,0.00013970291377558836,376
1,0.18409244720956505,0.02687085073879825,7.33307692143704e-12,350
2,0.15229414032458582,0.03712169061845809,4.085954114518218e-05,391
