k,beta,se,p,N
-3,-0.5316029514596436,0.05648235417213914,4.875205797834091e-21,4
-2,-0.19459799967745003,0.1001627616001141,0.052038172168729614,5
-1,0.0,0.0,,42
0,-0.053733194518059864,0.057407801307925686,0.34927773937964124,451
1,-0.09614809532854887,0.06606454302663026,0.14556794038622586,428
2,-0.2563644410542733,0.03779413410619063,1.175584443500739e-11,489
