position,n_total,n_intl,intl_pct,top_countries,top_region,reg_HHI
F,3927,841,21.4,"CAN 690, SWE 28, FIN 26",NA (82%),0.688
D,2224,431,19.4,"CAN 363, SWE 27, FIN 8",NA (84%),0.724
G,832,184,22.1,"CAN 146, SWE 8, CZE 5",NA (79%),0.648
