country_code,athletes,soccer_athletes,track_athletes,gdp_per_capita_ppp,population,pop_15_24,unemployment,gdp_growth,political_stability,rule_of_law,control_corruption,years_with_conflict_2010_23,disaster_deaths_2010_23,econ_shocks_2010_23,stringency_2020_21,inflation_2023,mean_inflation_2010_23,hyperinflation_event,refugees_origin_2023,refugees_plus_asylum_2010_23_total,log_athletes,log_gdp_pc,log_pop,log_pop_15_24,athletes_per_million,athletes_per_million_15_24,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23,log_refugees_per_cohort,log_inflation_2023,log_mean_inflation_2010_23
ITA,37,3,34,52870.3261442897,58984216.0,5827728.662711018,7.627,1.02611231433292,0.5833,0.3904,0.5501,0.0,31350.0,2.0,65.025,5.62219442195901,1.9491538886476656,0.0,124.0,5964.0,3.6109179126442243,10.875597518007323,17.892780440654956,15.578137887682686,0.6272864591435784,6.348957225264476,-0.4663519700464564,1.8482905829258123,10.353001443478973,0.0010228599676749403,1.890426798699949,1.0815183118041782
JAM,133,0,133,11398.8120394641,2839786.0,499212.1988051337,3.022,2.72311612642515,0.3848,-0.1745,-0.1121,0.0,16.0,1.0,69.19,6.47413734662063,6.473709523452046,0.0,2128.0,51046.0,4.890349128221754,9.3412644218881,14.8592392551856,13.120786532447784,46.834514995144,266.4197716288504,3.846620431000428,5.585073153738243,2.833213344056216,0.09735636697554823,2.0114487074827014,2.0113914653698513
JOR,1,0,1,9381.35436036929,11439213.0,2020436.3812083504,16.62,1.23863426474166,-0.2027,0.2578,0.0887,1.0,34.0,2.0,54.675,2.08486986327134,2.5809388291135824,0.0,3978.0,79000.0,0.0,9.146479419676384,16.252557747843237,14.518824076347366,0.08741860126216724,0.49494258235537014,-2.4370471898789625,-0.7033135183830915,3.5553480614894135,0.0383554004224852,1.1265094727630036,1.2756250088021415
JPN,9,1,8,45858.6595131439,124516650.0,11924544.892350242,2.6,1.97080161121153,0.9511,1.5355,1.3957,0.0,22268.0,3.0,40.89,3.26813365933163,0.7262200327789604,0.0,48.0,2636.0,2.1972245773362196,10.733319326005274,18.639949999867074,16.294109429846905,0.0722794903332205,0.7547457853736307,-2.6272148645665823,-0.2813742945464136,10.010950855785657,0.000221032225049536,1.451176649568559,0.5459340658681402
KEN,188,2,186,5691.82513474417,55339003.0,10761145.422137422,5.409,3.64425548577437,-0.9378,-0.3262,-0.7709,9.0,1350.0,2.0,57.38,7.67139634029402,6.97258241883455,0.0,8004.0,194548.0,5.236441962829949,8.646786237505259,17.828988516259066,16.191452558903823,3.3972422669053146,17.4702592173184,1.2229640045351562,2.8604999618904015,7.208600337960199,0.017917267424401362,2.1600298320684397,2.0760084577394586
KNA,2,0,2,30616.577281386,46758.0,6804.385506540726,,2.91331421745427,0.9234,0.4795,0.4134,0.0,0.0,1.0,,3.55711230848243,0.8178596646144453,0.0,21.0,746.0,0.6931471805599453,10.329296882473438,10.752740643071617,8.825322610720333,42.77342914581462,293.9280847737826,3.7559170954526033,5.683335127803886,0.0,0.10403129068816619,1.516689157245212,0.5976598005945442
KOR,1,0,1,54029.3434990785,51712619.0,5898916.330585813,2.675,1.50434142529414,0.6098,1.2485,0.8941,0.0,402.0,1.0,50.63,3.5974562502901,2.066587522590576,0.0,107.0,10994.0,0.0,10.897282576090193,17.76121239093359,15.590279219223971,0.01933763981282789,0.16952266212270406,-3.9457018329693154,-1.774768661259697,5.998936561946683,0.0018619975534962811,1.5255031614728345,1.1205653872029575
LBN,2,0,2,11330.2687387422,5773493.0,969579.9340593008,10.985,-1.25912842069158,-1.519,-1.1651,-1.2271,3.0,23.0,4.0,63.025,221.341644023365,47.375060978769945,1.0,7392.0,193625.0,0.6931471805599453,9.335233072958955,15.568787827937182,13.784618199012188,0.3464107430285271,2.062748959362929,-1.0601300894129626,0.7240395395120315,3.1780538303479458,0.1820714285380934,5.404215135964356,3.8789844118921994
LBR,1,0,1,1616.92373356695,5493031.0,1023282.5994346334,2.905,2.40186206516404,-0.1162,-1.0316,-0.8883,0.0,1.0,4.0,48.455,10.0944535665552,11.574244821469208,0.0,4838.0,283128.0,0.0,7.38828069307638,15.518990755855164,13.838526252566579,0.18204885426643322,0.9772471461476067,-1.7034801978908904,-0.023015694602304262,0.6931471805599453,0.24426768150692924,2.4064453047485697,2.5316506602237805
LCA,4,0,4,23403.7440265988,179285.0,28890.06874453394,12.094,1.9225537588581,1.018,0.605,0.5441,0.0,21.0,2.0,,4.07060821926204,1.7716934604048251,0.0,117.0,12497.0,1.3862943611198906,10.060651289683676,12.096731997421026,10.271253172984412,22.310845859943665,138.45588376305986,3.105072921663138,4.930551746099753,3.091042453358316,0.35947058887198585,1.6234607747594316,1.019458490943222
LKA,1,0,1,13024.9404319855,22037000.0,3331168.3051523096,4.528,-1.69162602435424,-0.5085,-0.0907,-0.384,0.0,1303.0,3.0,60.37,16.5411742279832,9.363615080156722,0.0,145319.0,2027978.0,0.0,9.474621293251072,16.908233416831894,15.018833642813908,0.045378227526432814,0.30019497917691595,-3.0927228588676194,-1.2033230848496341,7.1731917424865985,0.475481606121228,2.8645509304263737,2.338301121924928
LTU,4,0,4,46159.7081733083,2871585.0,289241.04735097464,6.841,-1.05357687282228,0.7421,1.2672,0.7815,0.0,672.0,1.0,47.185,9.11731962390475,3.798090521230157,0.0,63.0,3884.0,1.3862943611198906,10.739862579093286,14.87037470010208,12.575015693327051,1.3929589407940215,13.829295795441745,0.3314302189820848,2.626789225757113,6.511745329644728,0.013338886394122462,2.3142487694799514,1.5682180306901707
LUX,1,0,1,130048.92038753,666430.0,71823.08604155753,5.184,-1.90230848156084,1.054,1.7524,1.9267,0.0,77.0,1.0,44.620000000000005,3.74140361983136,2.1358549270416325,0.0,5.0,25.0,0.0,11.775665969323924,13.409690386828693,11.181961235968005,1.5005326891046322,13.923099870999561,0.4058201711355814,2.6335493219962696,4.356708826689592,0.0003480169318568909,1.5563332141987134,1.1429018409084275
LVA,13,0,13,37277.7217221317,1883710.0,176396.30966122134,6.465,-1.16914941176928,0.5911,1.0399,0.6981,0.0,173.0,3.0,45.33,8.9380462331663,3.176375030582996,0.0,138.0,5415.0,2.5649493574615367,10.526151154328312,14.44875379445718,12.080488502048135,6.90127461233417,73.69768690154122,1.9317061209686306,4.299971413377676,5.159055299214529,0.03023616610011198,2.29637044532933,1.4294436527220935
MAR,11,0,11,8915.3515625,37712505.0,5958067.384227087,8.896,2.58793464682357,-0.3678,-0.1275,-0.5363,0.0,3111.0,2.0,64.85,6.09114152504141,1.887276052868921,0.0,8827.0,156800.0,2.3978952727983707,9.095529964460814,17.44550229503148,15.600256722065039,0.2916804386237403,1.8462362525674894,-1.2320964642688352,0.6131491086976063,8.043020885298283,0.025976917841159526,1.9588463325265024,1.0603135153921848
MDA,1,0,1,15990.4793311152,2457783.0,280500.4042059191,1.57,4.11813611077881,-0.6837,-0.1527,-0.2803,0.0,15.0,2.0,53.510000000000005,13.4170104381299,7.922814863668618,0.0,5343.0,100404.0,0.0,9.679748782308982,14.714770282053891,12.544330444963169,0.40687074489489106,3.565057251275426,-0.8992597240896175,1.271180113001105,2.772588722239781,0.3059732700670788,2.668408789844896,2.188611464486766
MEX,15,0,15,21917.24858366,129739759.0,22085743.766272098,2.765,2.45603364564664,-0.6308,-0.8064,-1.0206,0.0,1557.0,3.0,53.255,5.52796087314389,4.437858505095037,0.0,21869.0,1134928.0,2.70805020110221,9.995029212365123,18.681041148186182,16.91044287988613,0.11561606184269234,0.679171150346633,-2.1574803891196974,-0.3868821208196466,7.351158226430694,0.05011058443208421,1.8760946239465228,1.6933853262128866
