pos,origin,n,pct_priv,pct_R1R2,med_nral_pct,med_recruitK,med_stuaidK,med_sportRevK,med_sportExpK
D,Dom,1788,79.1,30.6,4.9,81.4,0.0,615.4,262.5
D,Int,428,71.5,30.4,5.9,109.9,2477.6,2144.2,535.7
F,Dom,3076,79.0,29.7,4.8,80.2,0.0,608.3,255.8
F,Int,835,73.9,32.9,6.1,120.9,2326.0,1964.2,532.4
G,Dom,647,80.1,27.7,4.8,80.2,0.0,614.8,255.8
G,Int,182,70.9,33.0,5.6,114.6,1406.9,2277.3,535.7
