country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
BLR,2023,0,29.72,909017.1094147346,27782.4380139967,-0.7294,0.0,-1.8758886553702516
BLR,2024,0,29.72,909017.1094147346,27782.4380139967,-0.7294,0.0,-1.8758886553702516
BMU,2020,0,47.7,6603.910821712756,103052.348367859,1.0204,0.0,-0.3487330580903462
BMU,2021,0,47.7,6603.910821712756,103052.348367859,1.0204,0.0,-0.3487330580903462
BMU,2022,0,47.7,6603.910821712756,103052.348367859,1.0204,0.0,-0.3487330580903462
BMU,2023,0,47.7,6603.910821712756,103052.348367859,1.0204,0.0,-0.3487330580903462
BMU,2024,1,47.7,6603.910821712756,103052.348367859,1.0204,0.6931471805599453,-0.3487330580903462
BRA,2020,1,58.93,32352362.801508307,19079.8122132253,-0.4086,0.6931471805599453,0.6051021675744662
BRA,2021,1,58.93,32352362.801508307,19079.8122132253,-0.4086,0.6931471805599453,0.6051021675744662
BRA,2022,5,58.93,32352362.801508307,19079.8122132253,-0.4086,1.791759469228055,0.6051021675744662
BRA,2023,0,58.93,32352362.801508307,19079.8122132253,-0.4086,0.0,0.6051021675744662
BRA,2024,0,58.93,32352362.801508307,19079.8122132253,-0.4086,0.0,0.6051021675744662
BRB,2020,1,54.985,36917.40970408126,21318.6724772626,1.1871,0.6931471805599453,0.2700282614972012
BRB,2021,5,54.985,36917.40970408126,21318.6724772626,1.1871,1.791759469228055,0.2700282614972012
BRB,2022,7,54.985,36917.40970408126,21318.6724772626,1.1871,2.0794415416798357,0.2700282614972012
BRB,2023,3,54.985,36917.40970408126,21318.6724772626,1.1871,1.3862943611198906,0.2700282614972012
BRB,2024,2,54.985,36917.40970408126,21318.6724772626,1.1871,1.0986122886681098,0.2700282614972012
CAN,2020,13,62.91,4564868.341340788,57517.4431587432,0.8224,2.6390573296152584,0.9431488459489944
CAN,2021,38,62.91,4564868.341340788,57517.4431587432,0.8224,3.6635616461296463,0.9431488459489944
CAN,2022,33,62.91,4564868.341340788,57517.4431587432,0.8224,3.5263605246161616,0.9431488459489944
CAN,2023,35,62.91,4564868.341340788,57517.4431587432,0.8224,3.58351893845611,0.9431488459489944
CAN,2024,36,62.91,4564868.341340788,57517.4431587432,0.8224,3.6109179126442243,0.9431488459489944
CHE,2020,1,47.315,901200.9771208994,82295.2993346568,1.0714,0.6931471805599453,-0.3814335533602445
CHE,2021,3,47.315,901200.9771208994,82295.2993346568,1.0714,1.3862943611198906,-0.3814335533602445
CHE,2022,0,47.315,901200.9771208994,82295.2993346568,1.0714,0.0,-0.3814335533602445
CHE,2023,5,47.315,901200.9771208994,82295.2993346568,1.0714,1.791759469228055,-0.3814335533602445
CHE,2024,3,47.315,901200.9771208994,82295.2993346568,1.0714,1.3862943611198906,-0.3814335533602445
