position,n_total,n_intl,intl_pct,top_countries,top_region,reg_HHI
OH,5513,360,6.5,"CAN 48, BRA 38, ITA 29",WEU (26%),0.19
L/DS,3445,107,3.1,"CAN 17, TUR 15, BRA 12",LAC (33%),0.2
MB,3183,160,5.0,"CAN 29, TUR 17, ITA 12",EEU (23%),0.18
S,2787,143,5.1,"TUR 22, CAN 20, BRA 10",EEU (24%),0.19
OPP,1656,85,5.1,"CAN 14, ITA 7, POL 7",WEU (31%),0.206
