country_code,year,terms_of_trade_index
DJI,2011,105.5
DMA,2011,103.3
DNK,2011,99.8
DOM,2011,94.1
DZA,2011,139.4
ECU,2011,140.0
EGY,2011,104.8
ERI,2011,118.1
ESP,2011,99.1
EST,2011,102.4
ETH,2011,106.6
FIN,2011,95.1
FJI,2011,106.7
FRA,2011,98.3
FRO,2011,88.0
FSM,2011,82.9
GAB,2011,145.7
GBR,2011,91.9
GEO,2011,104.8
GHA,2011,116.2
GIB,2011,86.5
GIN,2011,124.1
GMB,2011,97.3
GNB,2011,98.5
GNQ,2011,153.6
GRC,2011,99.8
GRD,2011,83.1
GRL,2011,80.3
GTM,2011,102.0
GUM,2011,100.6
GUY,2011,106.9
HKG,2011,99.4
HND,2011,100.2
HRV,2011,100.4
HTI,2011,95.0
HUN,2011,97.4
IDN,2011,111.7
IND,2011,88.1
IRL,2011,104.3
IRN,2011,134.2
IRQ,2011,194.4
ISL,2011,96.4
ISR,2011,81.7
ITA,2011,91.5
JAM,2011,110.0
JOR,2011,99.4
JPN,2011,92.5
KAZ,2011,157.0
KEN,2011,90.0
KGZ,2011,106.4
KHM,2011,84.5
KIR,2011,84.5
KNA,2011,96.6
KOR,2011,86.5
KWT,2011,155.8
LAO,2011,121.7
LBN,2011,95.5
LBR,2011,156.4
LBY,2011,153.4
LCA,2011,106.3
LKA,2011,90.7
LSO,2011,79.0
LTU,2011,95.3
LUX,2011,103.3
LVA,2011,99.9
MAC,2011,95.9
MAR,2011,89.2
MDA,2011,101.7
MDG,2011,85.9
MDV,2011,85.5
MEX,2011,100.9
MHL,2011,100.3
MKD,2011,89.0
MLI,2011,118.5
MLT,2011,101.2
MMR,2011,91.8
MNG,2011,140.9
MNP,2011,63.2
MOZ,2011,109.8
MRT,2011,141.6
MUS,2011,82.9
MWI,2011,100.6
MYS,2011,105.8
NAM,2011,95.9
NCL,2011,136.8
NER,2011,109.1
NGA,2011,152.1
NIC,2011,92.1
NLD,2011,97.4
NOR,2011,127.8
NPL,2011,90.9
NRU,2011,126.3
NZL,2011,97.1
OMN,2011,155.7
PAK,2011,101.3
PAN,2011,100.7
PER,2011,124.2
PHL,2011,92.7
PLW,2011,93.6
PNG,2011,127.8
POL,2011,99.4
PRK,2011,115.2
PRT,2011,94.7
PRY,2011,89.0
PSE,2011,87.0
PYF,2011,72.6
QAT,2011,145.5
ROU,2011,99.8
RUS,2011,140.4
RWA,2011,100.6
SAU,2011,160.6
SEN,2011,98.7
SGP,2011,93.3
SLB,2011,102.9
SLE,2011,124.8
SLV,2011,85.1
