country_code,year,inflation_pct
ABW,2010,2.07814071860786
AFE,2010,5.53753791645676
AFG,2010,2.17853752389418
AFW,2010,1.78484420477113
AGO,2010,14.4696564932576
ALB,2010,3.62710091517479
ARE,2010,0.877983288285867
ARM,2010,8.17636138473951
ATG,2010,3.37002540220147
AUS,2010,2.9183370211222
AUT,2010,1.81353438995061
AZE,2010,5.72687224669605
BDI,2010,6.49326591473993
BEL,2010,2.18929920422458
BEN,2010,2.20783532536523
BFA,2010,-0.764230734676768
BGD,2010,8.12667639169917
BGR,2010,2.43899060504117
BHR,2010,1.96188468334623
BHS,2010,1.34402738392835
BIH,2010,1.99621236745886
BLR,2010,7.735748043125
BLZ,2010,0.917977378808887
BOL,2010,2.5032760584424
BRA,2010,5.03872690108074
BRB,2010,5.82421853311866
BRN,2010,0.35686913201756
BTN,2010,7.03638316073018
BWA,2010,6.94887658743103
CAF,2010,1.49102370047802
CAN,2010,1.77687154092627
CHE,2010,0.688238707219974
CHL,2010,1.4107110795432
CHN,2010,3.17532475269199
CIV,2010,1.22645612135479
CMR,2010,1.27538046242338
COD,2010,7.10000000000037
COG,2010,0.391525011227612
COL,2010,2.27200227892008
COM,2010,3.35475770328919
CPV,2010,2.07866470906423
CRI,2010,5.66275708420021
CUW,2010,2.77944261312586
CYM,2010,0.276140861750108
CYP,2010,2.43004084102254
CZE,2010,1.47272727272728
DEU,2010,1.1038103778926
DJI,2010,3.95007875923886
DMA,2010,2.99936630549
DNK,2010,2.31092436974786
DOM,2010,6.32993220146146
DZA,2010,3.91106195534028
ECU,2010,3.55437734567842
EGY,2010,11.2651882653185
ESP,2010,1.79986457728768
EST,2010,2.97204512015693
ETH,2010,8.14926402965082
FIN,2010,1.18413523154646
FJI,2010,3.6890122967076
FRA,2010,1.53112270420918
FSM,2010,3.31370963136217
GAB,2010,1.46154402720469
GBR,2010,2.49265472467065
GEO,2010,7.11017897486099
GHA,2010,10.7333898354915
GIN,2010,15.0502688559001
GMB,2010,5.04968075857402
GNB,2010,2.51785140171701
GNQ,2010,7.78916547991184
GRC,2010,4.71298907760395
GRD,2010,3.43650905943351
GTM,2010,3.8595090983316
GUY,2010,3.73337757704246
HKG,2010,2.29289088604673
HND,2010,4.69889064976226
HRV,2010,1.03055505333574
HTI,2010,4.82734190074673
HUN,2010,4.85555795691956
IDN,2010,5.13420639015885
IND,2010,11.9893899204244
IRL,2010,-0.918388645376774
IRN,2010,10.0893629287979
IRQ,2010,2.8777472527476
ISL,2010,5.39673113167477
ISR,2010,2.70270270270273
ITA,2010,1.52551602118248
JAM,2010,12.6105519975603
JOR,2010,4.84551875852116
JPN,2010,-0.728243207517779
KAZ,2010,7.40046356341396
KEN,2010,3.96138889115385
KGZ,2010,7.96772225579684
KHM,2010,3.99639528107218
KIR,2010,-3.89955040651649
KNA,2010,0.850878649795844
KOR,2010,2.93928652655686
KWT,2010,4.49640287769787
LAO,2010,5.98254521550082
LBN,2010,3.98347941855833
LBR,2010,7.28992796890218
LBY,2010,2.79989500109268
LCA,2010,3.25034409180129
LKA,2010,6.2176488930462
LSO,2010,-2.40524254598706
LTU,2010,1.31921362055463
LUX,2010,2.2736791162154
LVA,2010,-1.08463595015155
MAC,2010,2.80947242060843
MAR,2010,0.993557401226392
MDA,2010,7.48385086350851
MDG,2010,9.24732173644116
MDV,2010,6.14988536750173
MEX,2010,4.15672722680174
MKD,2010,1.50997522027613
MLI,2010,1.10892690670186
MLT,2010,1.51563513618532
MMR,2010,7.71838195873614
MNE,2010,0.654946570148479
MNG,2010,10.0462065881651
MOZ,2010,12.4255421735156
MRT,2010,6.28354087427704
MUS,2010,2.93236301369857
MWI,2010,7.41159092883827
MYS,2010,1.62285235577035
NAM,2010,4.8749198764395
NER,2010,0.804073080882659
NGA,2010,13.7400521363694
NIC,2010,5.45513425887423
NLD,2010,1.27530569556679
NOR,2010,2.41890639481003
NPL,2010,9.32650410745395
NZL,2010,2.30202385958572
OMN,2010,3.25657959078624
PAK,2010,12.9388705634889
PAN,2010,3.491288726188
PER,2010,1.52832059732901
PHL,2010,3.78983634797591
PLW,2010,1.44219017355169
PNG,2010,6.01360893567856
POL,2010,2.58069370250548
PRT,2010,1.40257289895369
PRY,2010,4.65116279069765
PSE,2010,3.74915727597096
QAT,2010,-2.42525675161714
ROU,2010,6.09141668601891
