school_name,gender,platform,base_url,status,division,source_id,softball_roster,field_hockey_roster,beach_volleyball_roster,football_roster,baseball_roster,cross_country_roster,soccer_roster,volleyball_roster,water_polo_roster,basketball_roster,bowling_roster,fencing_roster,gymnastics_roster,ice_hockey_roster,swimming_diving_roster,track_field_roster,wrestling_roster,golf_roster,lacrosse_roster,rowing_roster,tennis_roster
American University,Men,Sidearm Sports,http://www.aueagles.com/,OK,I,21,,,,,,https://aueagles.com/sports/cross-country/roster,https://aueagles.com/sports/mens-soccer/roster,,,https://aueagles.com/sports/mens-basketball/roster,,,,,https://aueagles.com/sports/swimming-and-diving/roster,https://aueagles.com/sports/track-and-field/roster,https://aueagles.com/sports/wrestling/roster,,,,
American University,Women,Sidearm Sports,http://www.aueagles.com/,OK,I,21,,https://aueagles.com/sports/field-hockey/roster,,,,https://aueagles.com/sports/cross-country/roster,https://aueagles.com/sports/womens-soccer/roster,https://aueagles.com/sports/womens-volleyball/roster,,https://aueagles.com/sports/womens-basketball/roster,,,,,https://aueagles.com/sports/swimming-and-diving/roster,https://aueagles.com/sports/track-and-field/roster,,,https://aueagles.com/sports/womens-lacrosse/roster,,
Amherst College,Men,Sidearm Sports,http://athletics.amherst.edu/landing/index,OK,III,22,,,,https://athletics.amherst.edu/sports/football/roster,https://athletics.amherst.edu/sports/baseball/roster,https://athletics.amherst.edu/sports/mens-cross-country/roster,https://athletics.amherst.edu/sports/mens-soccer/roster,,,https://athletics.amherst.edu/sports/mens-basketball/roster,,,,https://athletics.amherst.edu/sports/mens-ice-hockey/roster,https://athletics.amherst.edu/sports/mens-swimming-and-diving/roster,https://athletics.amherst.edu/sports/mens-track-and-field/roster,,https://athletics.amherst.edu/sports/mens-golf/roster,https://athletics.amherst.edu/sports/mens-lacrosse/roster,,https://athletics.amherst.edu/sports/mens-tennis/roster
Amherst College,Women,Sidearm Sports,http://athletics.amherst.edu/landing/index,OK,III,22,https://athletics.amherst.edu/sports/softball/roster,https://athletics.amherst.edu/sports/field-hockey/roster,,,,https://athletics.amherst.edu/sports/womens-cross-country/roster,https://athletics.amherst.edu/sports/womens-soccer/roster,https://athletics.amherst.edu/sports/womens-volleyball/roster,,https://athletics.amherst.edu/sports/womens-basketball/roster,,,,https://athletics.amherst.edu/sports/womens-ice-hockey/roster,https://athletics.amherst.edu/sports/womens-swimming-and-diving/roster,https://athletics.amherst.edu/sports/womens-track-and-field/roster,,https://athletics.amherst.edu/sports/womens-golf/roster,https://athletics.amherst.edu/sports/womens-lacrosse/roster,,https://athletics.amherst.edu/sports/womens-tennis/roster
Anderson University (Indiana),Men,PrestoSports,http://athletics.anderson.edu/,OK,III,23,,,,https://athletics.anderson.edu/sports/fball/2026-27/roster,https://athletics.anderson.edu/sports/bsb/2025-26/roster,https://athletics.anderson.edu/sports/mxc/2025-26/roster,https://athletics.anderson.edu/sports/msoc/2026-27/roster,,,https://athletics.anderson.edu/sports/mbkb/2025-26/roster,,,,,https://athletics.anderson.edu/sports/mswimdive/2025-26/roster,https://athletics.anderson.edu/sports/mtrack/2025-26/roster,,https://athletics.anderson.edu/sports/mgolf/2025-26/roster,,,https://athletics.anderson.edu/sports/mten/2025-26/roster
Anderson University (Indiana),Women,PrestoSports,http://athletics.anderson.edu/,OK,III,23,https://athletics.anderson.edu/sports/sball/2025-26/roster,,,,,https://athletics.anderson.edu/sports/wxc/2025-26/roster,https://athletics.anderson.edu/sports/wsoc/2026-27/roster,https://athletics.anderson.edu/sports/wvball/2026-27/roster,,https://athletics.anderson.edu/sports/wbkb/2025-26/roster,,,,,https://athletics.anderson.edu/sports/wswimdive/2025-26/roster,https://athletics.anderson.edu/sports/wtrack/2025-26/roster,,https://athletics.anderson.edu/sports/wgolf/2025-26/roster,,,https://athletics.anderson.edu/sports/wten/2025-26/roster
Anderson University (South Carolina),Men,Unknown,https://autrojans.com/sports/baseball,Needs Review,II,24,,,,,,,,,,,,,,,,,,,,,
Anderson University (South Carolina),Women,Unknown,https://autrojans.com/sports/baseball,Needs Review,II,24,,,,,,,,,,,,,,,,,,,,,
Angelo State University,Men,Sidearm Sports,http://www.angelosports.com/,OK,II,25,,,,https://angelosports.com/sports/football/roster,https://angelosports.com/sports/baseball/roster,https://angelosports.com/sports/cross-country/roster,,,,https://angelosports.com/sports/mens-basketball/roster,,,,,,https://angelosports.com/sports/outdoor-track/roster,,https://angelosports.com/sports/golf/roster,,,
Angelo State University,Women,Sidearm Sports,http://www.angelosports.com/,OK,II,25,https://angelosports.com/sports/softball/roster,,,,,https://angelosports.com/sports/cross-country/roster,https://angelosports.com/sports/womens-soccer/roster,https://angelosports.com/sports/womens-volleyball/roster,,https://angelosports.com/sports/womens-basketball/roster,,,,,,https://angelosports.com/sports/outdoor-track/roster,,,,,https://angelosports.com/sports/womens-tennis/roster
Anna Maria College,Men,PrestoSports,http://goamcats.com/landing/index,OK,III,26,,,,https://goamcats.com/sports/fball/2025-26/roster,https://goamcats.com/sports/bsb/2025-26/roster,,https://goamcats.com/sports/msoc/2025-26/roster,,,https://goamcats.com/sports/mbkb/2025-26/roster,,,,https://goamcats.com/sports/mice/2025-26/roster,,,,,https://goamcats.com/sports/mlax/2025-26/roster,,
Anna Maria College,Women,PrestoSports,http://goamcats.com/landing/index,OK,III,26,https://goamcats.com/sports/sball/2025-26/roster,https://goamcats.com/sports/fh/2025-26/roster,,,,,https://goamcats.com/sports/wsoc/2025-26/roster,https://goamcats.com/sports/wvball/2025-26/roster,,https://goamcats.com/sports/wbkb/2025-26/roster,,,,https://goamcats.com/sports/wice/2025-26/roster,,,,,https://goamcats.com/sports/wlax/2025-26/roster,,
