iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
SEN,2021,4212.37,107.08,24.9
SEN,2022,5036.51,111.49,13.89
SEN,2023,5045.01,111.66,
SGP,2020,10357.55,5.13,51.94
SGP,2021,49162.76,145.49,49.17
SGP,2022,388306.94,302.84,30.08
SGP,2023,517623.72,345.85,
SHN,2020,0.0,0.0,
SHN,2021,0.0,0.0,
SHN,2022,403427.1,0.0,
SHN,2023,403427.1,0.0,
SLB,2020,21.76,0.0,31.47
SLB,2021,28.17,0.0,29.71
SLB,2022,27668.28,195.88,48.84
SLB,2023,33228.56,254.78,
SLE,2020,307.97,9.18,36.24
SLE,2021,804.54,14.86,50.26
SLE,2022,937.56,15.22,42.11
SLE,2023,939.86,15.1,
SLV,2020,7104.58,206.52,64.3
SLV,2021,19384.53,607.93,33.87
SLV,2022,32129.75,673.53,26.7
SLV,2023,32137.87,673.53,
SMR,2020,67217.77,1670.92,42.1
SMR,2021,223990.86,2872.8,52.44
SMR,2022,674434.94,3547.04,15.24
SMR,2023,741418.25,3693.61,
SOM,2020,263.46,7.13,35.04
SOM,2021,1321.88,74.88,35.55
SOM,2022,1533.54,76.45,19.43
SOM,2023,1535.46,76.45,
SPM,2020,2777.78,0.0,
SPM,2021,17013.89,0.0,
SPM,2022,581250.0,347.22,
SPM,2023,594791.7,347.22,
SRB,2020,47615.46,439.24,49.94
SRB,2021,189876.55,1850.62,44.48
SRB,2022,359247.78,2576.12,18.07
SRB,2023,380413.34,2658.88,
SSD,2020,318.02,5.72,53.72
SSD,2021,1343.78,12.25,45.31
SSD,2022,1666.61,12.52,22.54
SSD,2023,1707.53,13.34,
STP,2020,4480.52,75.12,
STP,2021,16543.46,251.86,
STP,2022,27744.76,340.24,
STP,2023,29764.09,353.49,
SUR,2020,9435.58,190.96,59.58
SUR,2021,82742.67,1903.16,72.95
SUR,2022,130912.28,2235.33,30.86
SUR,2023,132378.97,2252.99,
SVK,2020,30607.9,323.94,46.01
SVK,2021,150849.58,2996.06,52.95
SVK,2022,339598.22,3800.89,18.46
SVK,2023,342675.4,3874.7,
SVN,2020,54561.91,1362.03,50.57
SVN,2021,215977.45,2878.65,54.59
SVN,2022,614970.0,4160.78,17.11
SVN,2023,640315.7,4661.43,
SWE,2020,39869.91,888.98,49.55
SWE,2021,122682.09,1459.09,46.23
SWE,2022,254772.2,2098.05,14.8
SWE,2023,261898.52,2544.59,
SWZ,2020,6862.63,133.72,56.85
SWZ,2021,52818.02,1043.55,60.92
SWZ,2022,60726.66,1166.61,28.59
SWZ,2023,61686.52,1170.71,
SXM,2020,32492.94,616.65,
SXM,2021,112610.59,1778.81,
SXM,2022,260607.64,2110.86,
SXM,2023,262101.84,2182.01,
SYC,2020,1680.85,0.0,32.22
SYC,2021,194221.39,1003.73,70.92
SYC,2022,401132.78,1370.17,35.38
SYC,2023,408023.44,1370.17,
SYR,2020,486.68,29.78,50.05
SYR,2021,2228.24,127.82,38.78
SYR,2022,2556.43,140.82,24.22
SYR,2023,2556.43,140.82,
TCA,2020,18400.23,130.81,
TCA,2021,70526.94,566.83,
TCA,2022,141250.08,784.84,
TCA,2023,146286.16,872.05,
TCD,2020,107.61,5.64,55.19
TCD,2021,308.91,9.81,30.0
TCD,2022,414.46,10.51,24.3
TCD,2023,417.12,10.51,
TGO,2020,391.1,7.48,47.35
TGO,2021,3079.52,27.06,47.97
TGO,2022,4328.07,31.9,35.79
TGO,2023,4348.53,31.9,
THA,2020,85.61,0.84,46.5
THA,2021,30807.28,300.83,55.73
THA,2022,65822.64,468.3,27.04
THA,2023,66388.15,481.17,
TJK,2020,1331.24,8.84,37.77
TJK,2021,1717.99,12.28,34.15
TJK,2022,1746.77,12.28,12.11
TJK,2023,1746.77,12.28,
TKL,2020,0.0,0.0,
TKL,2021,0.0,0.0,
TKL,2022,2162.63,0.0,
TKL,2023,34602.07,0.0,
TKM,2020,0.0,0.0,41.26
TKM,2021,0.0,0.0,61.15
TKM,2022,0.0,0.0,44.62
TKM,2023,0.0,0.0,
TLS,2020,29.94,0.0,
TLS,2021,14484.05,89.1,59.42
TLS,2022,17080.27,100.78,18.38
TLS,2023,17132.85,100.78,
TON,2020,0.0,0.0,40.65
TON,2021,9.52,0.0,46.02
TON,2022,156225.9,114.23,50.61
TON,2023,161337.61,114.23,
TTO,2020,4744.23,83.56,60.09
TTO,2021,59457.64,1816.94,72.48
TTO,2022,124259.16,2859.11,24.49
TTO,2023,128012.02,2934.64,
TUN,2020,10745.64,365.2,45.02
TUN,2021,59639.82,2105.97,61.21
TUN,2022,94681.51,2415.89,42.38
TUN,2023,95167.02,2427.77,
TUR,2020,24505.06,225.41,55.17
TUR,2021,106675.27,933.89,55.53
TUR,2022,195324.78,1164.95,16.24
TUR,2023,195324.94,1164.95,
TUV,2020,0.0,0.0,
TUV,2021,0.0,0.0,
TUV,2022,277566.9,0.0,
TUV,2023,293947.25,99.88,
TWN,2020,,,24.72
TWN,2021,,,40.87
TWN,2022,,,24.68
TZA,2020,7.87,0.32,23.49
TZA,2021,452.87,11.39,12.24
TZA,2022,654.46,13.06,9.37
TZA,2023,667.93,13.07,
UGA,2020,714.71,6.3,63.27
UGA,2021,2855.28,69.33,63.78
UGA,2022,3590.79,76.72,34.91
UGA,2023,3633.02,76.77,
UKR,2020,24071.56,372.19,53.73
UKR,2021,87848.78,2254.22,55.14
UKR,2022,129496.61,2637.08,16.18
UKR,2023,134644.78,2677.74,
URY,2020,4673.67,42.17,40.64
URY,2021,119949.7,1817.21,56.93
URY,2022,298441.16,2230.08,15.26
URY,2023,306080.7,2248.66,
USA,2020,55310.59,1004.06,57.74
USA,2021,151899.53,2379.23,56.42
USA,2022,289925.7,3162.13,31.66
USA,2023,302859.5,3409.55,
UZB,2020,0.26,0.0,51.38
UZB,2021,3342.54,24.61,44.61
UZB,2022,4788.12,29.08,20.53
UZB,2023,5011.05,29.08,
VAT,2020,50682.26,0.0,
VAT,2021,50682.26,0.0,
VAT,2022,50682.26,0.0,
VAT,2023,50682.26,0.0,
VCT,2020,1058.18,0.0,
VCT,2021,57249.52,793.64,
VCT,2022,93286.44,1156.16,
VCT,2023,94785.52,1214.95,
VEN,2020,3955.73,35.8,68.76
VEN,2021,15701.94,188.28,77.73
VEN,2022,19489.02,206.64,19.83
VEN,2023,19590.07,207.56,
VGB,2020,2425.41,26.08,
VGB,2021,80090.76,1017.11,
VGB,2022,190512.2,1669.1,
VGB,2023,193511.38,1669.1,
VIR,2020,22873.06,265.83,0.0
VIR,2021,92544.01,1017.09,
VIR,2022,274314.9,1467.85,
VIR,2023,293443.22,1525.64,
VNM,2020,14.45,0.35,58.3
VNM,2021,16569.64,313.14,69.15
VNM,2022,115611.22,433.22,37.22
VNM,2023,116612.4,433.44,
VUT,2020,3.19,0.0,34.93
VUT,2021,22.36,0.0,21.28
VUT,2022,38372.59,44.72,31.89
VUT,2023,38391.76,44.72,
WLF,2020,347.8,0.0,
WLF,2021,39387.88,608.64,
WLF,2022,296930.7,608.64,
WLF,2023,308668.8,695.59,
WSM,2020,4.64,0.0,
WSM,2021,9.29,0.0,
WSM,2022,75579.86,134.72,
WSM,2023,78794.44,144.01,
YEM,2020,54.84,15.88,31.61
YEM,2021,264.53,51.88,31.5
YEM,2022,312.51,56.48,13.57
YEM,2023,312.51,56.48,
ZAF,2020,15949.6,425.16,55.09
ZAF,2021,54633.27,1455.2,52.71
ZAF,2022,64897.96,1644.29,24.33
ZAF,2023,65289.18,1644.72,
ZMB,2020,976.09,18.95,38.74
ZMB,2021,11491.18,183.45,41.57
ZMB,2022,16576.54,199.57,15.47
ZMB,2023,17332.66,201.91,
ZWE,2020,806.71,21.22,61.74
ZWE,2021,12679.4,304.0,61.88
ZWE,2022,16176.68,350.67,51.83
ZWE,2023,16557.97,356.65,
