iso_code,country_name,year,political_stability,govt_effectiveness,rule_of_law,control_corruption
ABW,Aruba,2015,1.2102,0.8476,1.2271,1.2483
ABW,Aruba,2016,1.2608,0.8529,1.2266,1.2327
ABW,Aruba,2017,1.3138,0.876,1.2958,1.2396
ABW,Aruba,2018,1.3375,1.0134,1.2597,1.2074
ABW,Aruba,2019,1.3358,0.9877,1.2283,1.1744
ABW,Aruba,2020,1.3716,1.075,1.2706,1.1988
ABW,Aruba,2021,1.4317,1.0839,1.2467,0.8009
ABW,Aruba,2022,1.4831,1.1052,1.278,0.7565
ABW,Aruba,2023,1.4325,0.7954,1.2702,0.7091
AFG,Afghanistan,2015,-2.5626,-1.3974,-1.5162,-1.3547
AFG,Afghanistan,2016,-2.6622,-1.2915,-1.5225,-1.5402
AFG,Afghanistan,2017,-2.795,-1.3866,-1.5812,-1.5301
AFG,Afghanistan,2018,-2.7534,-1.5018,-1.6891,-1.5029
AFG,Afghanistan,2019,-2.6525,-1.5191,-1.7421,-1.4193
AFG,Afghanistan,2020,-2.7027,-1.6115,-1.8314,-1.4934
AFG,Afghanistan,2021,-2.5187,-1.6706,-1.8772,-1.1523
AFG,Afghanistan,2022,-2.545,-1.88,-1.6598,-1.1837
AFG,Afghanistan,2023,-2.4841,-1.987,-1.6496,-1.1549
AGO,Angola,2015,-0.5054,-0.9291,-1.0307,-1.4277
AGO,Angola,2016,-0.3216,-0.9715,-1.004,-1.484
AGO,Angola,2017,-0.3879,-0.952,-1.04,-1.4452
AGO,Angola,2018,-0.3472,-1.0053,-1.0011,-1.1995
AGO,Angola,2019,-0.3684,-1.1285,-1.0235,-1.0546
AGO,Angola,2020,-0.5999,-1.2575,-0.9511,-0.9351
AGO,Angola,2021,-0.7105,-1.1264,-0.9838,-0.6495
AGO,Angola,2022,-0.6301,-1.026,-1.022,-0.6124
AGO,Angola,2023,-0.3415,-1.0089,-1.0991,-0.6099
ALB,Albania,2015,0.3416,0.0276,-0.3197,-0.5451
ALB,Albania,2016,0.3374,0.0291,-0.3226,-0.4724
ALB,Albania,2017,0.3738,0.0986,-0.4142,-0.4814
ALB,Albania,2018,0.3668,0.0805,-0.4148,-0.546
ALB,Albania,2019,0.1101,-0.0623,-0.4263,-0.5643
ALB,Albania,2020,0.0886,-0.1551,-0.378,-0.5735
ALB,Albania,2021,0.1964,-0.036,-0.2807,-0.5772
ALB,Albania,2022,0.1063,0.0645,-0.1656,-0.4082
ALB,Albania,2023,0.1833,0.2509,-0.1641,-0.3322
AND,Andorra,2015,1.366,1.7407,1.5132,1.1517
AND,Andorra,2016,1.3828,1.8054,1.5129,1.1594
AND,Andorra,2017,1.3929,1.8769,1.5356,1.1718
AND,Andorra,2018,1.3912,1.8792,1.5365,1.1789
AND,Andorra,2019,1.5774,1.8519,1.5102,1.1762
AND,Andorra,2020,1.5887,1.7492,1.6152,1.2655
AND,Andorra,2021,1.5813,1.7489,1.6421,1.2797
AND,Andorra,2022,1.586,1.4953,1.4855,1.2703
AND,Andorra,2023,1.5835,1.4754,1.4769,1.2514
ARE,United Arab Emirates,2015,0.748,1.5005,0.6142,1.0346
ARE,United Arab Emirates,2016,0.5496,1.4102,0.819,1.1317
ARE,United Arab Emirates,2017,0.6019,1.4089,0.7683,1.0958
ARE,United Arab Emirates,2018,0.6893,1.4263,0.7742,1.1171
ARE,United Arab Emirates,2019,0.6675,1.3803,0.8083,1.0724
ARE,United Arab Emirates,2020,0.5926,1.2853,0.8751,1.0836
ARE,United Arab Emirates,2021,0.5976,1.3637,0.799,1.1504
ARE,United Arab Emirates,2022,0.7442,1.2991,0.8361,1.1556
ARE,United Arab Emirates,2023,0.6775,1.6043,0.8819,1.0737
ARG,Argentina,2015,0.0088,-0.0495,-0.7486,-0.5813
ARG,Argentina,2016,0.1977,0.2188,-0.3202,-0.2992
ARG,Argentina,2017,0.1625,0.1351,-0.2373,-0.309
ARG,Argentina,2018,0.0069,0.0281,-0.2193,-0.0993
ARG,Argentina,2019,-0.0978,-0.1208,-0.4274,-0.1071
ARG,Argentina,2020,-0.072,-0.2543,-0.4863,-0.1636
ARG,Argentina,2021,0.0005,-0.3906,-0.4779,-0.4226
ARG,Argentina,2022,-0.0986,-0.2835,-0.4824,-0.4472
ARG,Argentina,2023,-0.1275,-0.3775,-0.4108,-0.3609
ARM,Armenia,2015,-0.2568,-0.3318,-0.4626,-0.6097
ARM,Armenia,2016,-0.668,-0.3126,-0.1609,-0.6598
ARM,Armenia,2017,-0.6262,-0.2516,-0.2094,-0.637
ARM,Armenia,2018,-0.4511,-0.1706,-0.1972,-0.4094
ARM,Armenia,2019,-0.42,-0.226,-0.1775,-0.227
ARM,Armenia,2020,-0.7716,-0.3045,-0.1258,-0.0035
ARM,Armenia,2021,-0.804,-0.2822,-0.1198,0.0487
ARM,Armenia,2022,-0.7408,-0.3148,-0.1695,0.0279
ARM,Armenia,2023,-0.8293,-0.1841,-0.122,0.0584
ASM,American Samoa,2015,1.1517,0.4428,1.2855,1.1517
ASM,American Samoa,2016,1.1586,0.4826,1.2792,1.1594
ASM,American Samoa,2017,1.1843,0.5105,1.2953,1.7623
ASM,American Samoa,2018,1.1663,0.4987,1.2966,1.7806
ASM,American Samoa,2019,1.1449,0.49,1.2682,1.7802
ASM,American Samoa,2020,1.0902,0.6326,1.1185,1.2655
ASM,American Samoa,2021,1.0668,0.6387,1.1388,1.2797
ASM,American Samoa,2022,1.1232,0.6676,1.2211,1.2703
ASM,American Samoa,2023,1.1142,0.6542,1.2125,1.2514
ATG,Antigua and Barbuda,2015,0.9876,0.1832,0.5531,0.6426
ATG,Antigua and Barbuda,2016,0.8592,0.218,0.4727,0.6454
ATG,Antigua and Barbuda,2017,0.7321,-0.0361,0.407,0.1979
ATG,Antigua and Barbuda,2018,0.8231,-0.0535,0.3764,0.2365
ATG,Antigua and Barbuda,2019,0.9381,-0.0548,0.3635,0.2396
ATG,Antigua and Barbuda,2020,0.9296,-0.2048,0.4074,0.239
ATG,Antigua and Barbuda,2021,0.9497,-0.1939,0.3032,0.2319
ATG,Antigua and Barbuda,2022,0.9381,-0.16,0.3908,0.3107
ATG,Antigua and Barbuda,2023,0.9234,0.3804,0.3786,0.3268
AUS,Australia,2015,0.8732,1.5333,1.7903,1.8413
AUS,Australia,2016,1.0334,1.5322,1.7167,1.7723
AUS,Australia,2017,0.8761,1.4984,1.646,1.753
AUS,Australia,2018,0.9712,1.556,1.6747,1.7675
AUS,Australia,2019,0.918,1.5387,1.6946,1.7881
AUS,Australia,2020,0.8622,1.5734,1.615,1.633
AUS,Australia,2021,0.8351,1.4717,1.6386,1.7074
AUS,Australia,2022,0.9837,1.5284,1.5088,1.7644
AUS,Australia,2023,0.9171,1.5899,1.5232,1.7812
AUT,Austria,2015,1.1293,1.451,1.8148,1.472
AUT,Austria,2016,0.8922,1.4748,1.7615,1.4969
AUT,Austria,2017,1.0296,1.4678,1.8004,1.5008
AUT,Austria,2018,0.8849,1.4561,1.8535,1.5686
AUT,Austria,2019,0.8922,1.4921,1.8623,1.5213
AUT,Austria,2020,0.8876,1.6059,1.7706,1.4777
AUT,Austria,2021,0.8996,1.5283,1.7518,1.2427
AUT,Austria,2022,0.6487,1.4649,1.7043,1.2586
AUT,Austria,2023,0.728,1.3267,1.7466,1.1337
AZE,Azerbaijan,2015,-0.7339,-0.2588,-0.7165,-0.9526
AZE,Azerbaijan,2016,-0.8089,-0.1594,-0.5394,-0.8526
AZE,Azerbaijan,2017,-0.7519,-0.1714,-0.5849,-0.9065
AZE,Azerbaijan,2018,-0.7114,-0.1451,-0.6198,-0.8532
AZE,Azerbaijan,2019,-0.6934,-0.1282,-0.6104,-0.8497
AZE,Azerbaijan,2020,-0.8523,-0.1553,-0.7296,-1.0781
AZE,Azerbaijan,2021,-0.8378,0.2135,-0.6068,-0.8479
AZE,Azerbaijan,2022,-0.9228,-0.0412,-0.6256,-1.0409
AZE,Azerbaijan,2023,-0.7308,-0.0326,-0.5666,-1.1955
BDI,Burundi,2015,-1.9374,-1.2376,-1.1859,-1.287
BDI,Burundi,2016,-1.9644,-1.4844,-1.4844,-1.2788
BDI,Burundi,2017,-2.0026,-1.3819,-1.411,-1.3185
BDI,Burundi,2018,-1.5703,-1.4498,-1.5138,-1.4783
BDI,Burundi,2019,-1.6251,-1.3748,-1.4536,-1.497
BDI,Burundi,2020,-1.5424,-1.3025,-1.3407,-1.5634
BDI,Burundi,2021,-1.2584,-1.3582,-1.3126,-1.5997
BDI,Burundi,2022,-1.1924,-1.2636,-1.2765,-1.5182
BDI,Burundi,2023,-1.1724,-1.2001,-1.2511,-1.556
BEL,Belgium,2015,0.5771,1.5294,1.4562,1.4745
BEL,Belgium,2016,0.4296,1.3976,1.3938,1.5312
BEL,Belgium,2017,0.4176,1.2408,1.3206,1.4042
BEL,Belgium,2018,0.3938,1.2246,1.3386,1.4296
BEL,Belgium,2019,0.4584,1.1133,1.3362,1.4488
BEL,Belgium,2020,0.5211,1.0782,1.3276,1.4458
BEL,Belgium,2021,0.6627,1.0856,1.2918,1.4552
BEL,Belgium,2022,0.582,1.2272,1.3482,1.495
BEL,Belgium,2023,0.4039,1.037,1.2954,1.3368
BEN,Benin,2015,-0.0205,-0.6823,-0.5556,-0.5637
BEN,Benin,2016,-0.0088,-0.6257,-0.6271,-0.529
BEN,Benin,2017,0.0263,-0.6974,-0.6455,-0.5765
BEN,Benin,2018,-0.147,-0.6315,-0.6923,-0.3916
BEN,Benin,2019,-0.4202,-0.4904,-0.6755,-0.3294
BEN,Benin,2020,-0.4431,-0.2909,-0.7669,-0.04
BEN,Benin,2021,-0.3963,-0.2376,-0.627,-0.1705
BEN,Benin,2022,-0.3432,-0.1706,-0.5961,-0.0899
BEN,Benin,2023,-0.3466,-0.219,-0.5057,-0.0496
BFA,Burkina Faso,2015,-0.6091,-0.6921,-0.5411,-0.299
BFA,Burkina Faso,2016,-0.8687,-0.639,-0.4553,-0.1699
BFA,Burkina Faso,2017,-0.9279,-0.6385,-0.415,-0.1388
BFA,Burkina Faso,2018,-1.0603,-0.6441,-0.4593,-0.1316
BFA,Burkina Faso,2019,-1.3022,-0.7782,-0.4638,-0.2195
BFA,Burkina Faso,2020,-1.538,-0.7081,-0.4687,-0.1222
BFA,Burkina Faso,2021,-1.6429,-0.765,-0.4631,-0.0825
BFA,Burkina Faso,2022,-1.8154,-0.8531,-0.6119,-0.1116
BFA,Burkina Faso,2023,-2.0352,-0.8262,-0.7418,-0.1696
BGD,Bangladesh,2015,-1.2098,-0.752,-0.7696,-0.8447
BGD,Bangladesh,2016,-1.2597,-0.7058,-0.6695,-0.8875
BGD,Bangladesh,2017,-1.2536,-0.752,-0.6797,-0.8586
BGD,Bangladesh,2018,-0.9856,-0.7623,-0.6492,-0.9268
BGD,Bangladesh,2019,-0.9286,-0.7535,-0.6435,-1.0172
BGD,Bangladesh,2020,-0.9158,-0.7795,-0.5655,-1.0037
BGD,Bangladesh,2021,-1.0369,-0.6534,-0.6257,-0.9865
BGD,Bangladesh,2022,-1.0465,-0.7634,-0.6017,-1.0758
BGD,Bangladesh,2023,-0.9087,-0.6973,-0.5027,-1.1209
BGR,Bulgaria,2015,0.0104,-0.0126,-0.1595,-0.3464
BGR,Bulgaria,2016,0.0683,0.0888,-0.1404,-0.2609
BGR,Bulgaria,2017,0.3214,0.098,-0.125,-0.1963
BGR,Bulgaria,2018,0.4444,0.1118,-0.1058,-0.1882
BGR,Bulgaria,2019,0.5613,0.1737,-0.0374,-0.1812
BGR,Bulgaria,2020,0.4016,-0.214,-0.1277,-0.3223
BGR,Bulgaria,2021,0.3647,-0.1734,-0.0689,-0.2581
BGR,Bulgaria,2022,0.3134,-0.2712,-0.1079,-0.1582
BGR,Bulgaria,2023,0.3419,0.0471,-0.0069,-0.1377
BHR,Bahrain,2015,-1.0683,0.5099,0.4003,0.107
BHR,Bahrain,2016,-0.7927,0.2732,0.4305,-0.0475
BHR,Bahrain,2017,-0.9587,0.1367,0.4196,-0.1711
BHR,Bahrain,2018,-0.8463,0.1196,0.3841,-0.1763
BHR,Bahrain,2019,-0.6268,0.2452,0.464,-0.0381
BHR,Bahrain,2020,-0.6101,0.3904,0.4546,-0.093
BHR,Bahrain,2021,-0.5248,0.6824,0.4415,0.1445
BHR,Bahrain,2022,-0.3629,0.6397,0.4383,0.1395
BHR,Bahrain,2023,-0.374,0.6972,0.4688,0.1778
BHS,"Bahamas, The",2015,0.895,0.6793,0.5682,1.0973
BHS,"Bahamas, The",2016,0.9599,0.6824,0.233,1.0671
BHS,"Bahamas, The",2017,0.9768,0.5398,0.1623,1.135
BHS,"Bahamas, The",2018,0.8477,0.5,0.069,1.0961
BHS,"Bahamas, The",2019,0.8016,0.4451,0.0453,1.1023
BHS,"Bahamas, The",2020,0.8303,0.4053,0.0211,1.1063
BHS,"Bahamas, The",2021,0.851,0.4198,0.0707,1.1524
BHS,"Bahamas, The",2022,0.8812,0.424,0.1345,1.2564
BHS,"Bahamas, The",2023,1.0086,0.2704,0.1796,1.2669
BIH,Bosnia and Herzegovina,2015,-0.4042,-0.6248,-0.2646,-0.4179
BIH,Bosnia and Herzegovina,2016,-0.4027,-0.4521,-0.193,-0.4868
BIH,Bosnia and Herzegovina,2017,-0.3515,-0.519,-0.2018,-0.5542
BIH,Bosnia and Herzegovina,2018,-0.4009,-0.6709,-0.2256,-0.6062
BIH,Bosnia and Herzegovina,2019,-0.4248,-0.7064,-0.2258,-0.6473
BIH,Bosnia and Herzegovina,2020,-0.4475,-1.0757,-0.3161,-0.6431
BIH,Bosnia and Herzegovina,2021,-0.4217,-1.0732,-0.3033,-0.6661
BIH,Bosnia and Herzegovina,2022,-0.4832,-1.065,-0.307,-0.6843
BIH,Bosnia and Herzegovina,2023,-0.3534,-0.9678,-0.3518,-0.5816
BLR,Belarus,2015,0.1109,-0.4892,-0.8792,-0.3156
BLR,Belarus,2016,0.1357,-0.5139,-0.7673,-0.2239
BLR,Belarus,2017,-0.0572,-0.3577,-0.8817,-0.2412
BLR,Belarus,2018,0.3536,-0.2979,-0.893,-0.1555
BLR,Belarus,2019,0.345,-0.1745,-0.8594,0.0069
BLR,Belarus,2020,-0.8876,-0.8297,-1.0852,-0.1342
BLR,Belarus,2021,-0.7542,-0.8042,-1.1214,-0.2585
BLR,Belarus,2022,-0.8021,-0.8517,-1.221,-0.5797
BLR,Belarus,2023,-0.7294,-0.9915,-1.2509,-0.665
BLZ,Belize,2015,0.0373,-0.642,-0.7942,-0.2095
BLZ,Belize,2016,0.0522,-0.6358,-0.9706,-0.2299
BLZ,Belize,2017,0.0304,-0.6702,-0.9746,-0.3055
BLZ,Belize,2018,-0.0021,-0.6274,-0.8425,-0.1696
BLZ,Belize,2019,0.062,-0.6342,-0.8559,-0.1913
BLZ,Belize,2020,0.5187,-0.6036,-0.8265,-0.1933
BLZ,Belize,2021,0.2725,-0.5267,-0.8002,-0.3301
BLZ,Belize,2022,0.564,-0.3567,-0.7202,-0.2369
BLZ,Belize,2023,0.5853,-0.3763,-0.6356,-0.2261
BMU,Bermuda,2015,0.9618,0.962,0.8302,1.1517
BMU,Bermuda,2016,0.9756,1.2763,0.8116,1.1594
BMU,Bermuda,2017,0.9815,1.3304,0.8148,1.1718
BMU,Bermuda,2018,1.1332,1.327,0.8168,1.1789
BMU,Bermuda,2019,1.0515,1.3071,0.7842,1.1762
BMU,Bermuda,2020,1.0034,1.4701,0.6218,1.2655
BMU,Bermuda,2021,1.0025,1.4714,0.6355,1.2797
BMU,Bermuda,2022,1.024,1.2194,0.6924,1.2703
BMU,Bermuda,2023,1.0204,1.2017,0.6837,1.2514
BOL,Bolivia,2015,-0.2705,-0.6769,-1.1621,-0.7179
BOL,Bolivia,2016,-0.2537,-0.6004,-1.2387,-0.7749
BOL,Bolivia,2017,-0.2801,-0.3956,-1.2451,-0.7013
BOL,Bolivia,2018,-0.2866,-0.3296,-1.2119,-0.6886
BOL,Bolivia,2019,-0.7283,-0.7906,-1.1894,-0.7814
BOL,Bolivia,2020,-0.4535,-0.7265,-1.2186,-0.8448
BOL,Bolivia,2021,-0.2788,-0.7632,-1.1776,-0.8838
BOL,Bolivia,2022,-0.1919,-0.5647,-1.3014,-0.8897
BOL,Bolivia,2023,-0.3132,-0.6395,-1.2193,-0.8383
BRA,Brazil,2015,-0.3319,-0.2553,-0.1873,-0.4578
BRA,Brazil,2016,-0.381,-0.2494,-0.2013,-0.4461
BRA,Brazil,2017,-0.4799,-0.3171,-0.3054,-0.5598
BRA,Brazil,2018,-0.4596,-0.5206,-0.3023,-0.481
BRA,Brazil,2019,-0.7142,-0.2341,-0.2243,-0.4079
BRA,Brazil,2020,-0.4469,-0.4657,-0.2319,-0.4291
BRA,Brazil,2021,-0.4199,-0.493,-0.3014,-0.4992
BRA,Brazil,2022,-0.395,-0.5883,-0.2579,-0.5664
BRA,Brazil,2023,-0.4086,-0.5468,-0.3088,-0.5036
BRB,Barbados,2015,1.1168,0.9891,1.0628,1.4477
BRB,Barbados,2016,0.96,1.0439,0.7633,1.2135
BRB,Barbados,2017,0.9525,0.8001,0.6255,1.3761
BRB,Barbados,2018,0.9007,0.3853,0.3633,1.3717
BRB,Barbados,2019,1.0329,0.592,0.3233,1.159
BRB,Barbados,2020,1.1207,0.4438,0.2944,1.1936
BRB,Barbados,2021,1.1186,0.4979,0.3413,1.2131
BRB,Barbados,2022,1.1446,0.4284,0.3594,1.2847
BRB,Barbados,2023,1.1871,0.3804,0.4142,1.3446
BRN,Brunei Darussalam,2015,1.2337,1.0264,0.3832,0.5354
BRN,Brunei Darussalam,2016,1.142,1.0487,0.5358,0.5312
BRN,Brunei Darussalam,2017,1.1534,1.1079,0.6198,0.6757
BRN,Brunei Darussalam,2018,1.236,1.2131,0.5993,0.7607
BRN,Brunei Darussalam,2019,1.1111,1.2788,0.5881,0.768
BRN,Brunei Darussalam,2020,1.1881,1.3833,0.8978,1.248
BRN,Brunei Darussalam,2021,1.1718,1.4071,0.8606,1.2165
BRN,Brunei Darussalam,2022,1.2425,1.4223,0.9338,1.1752
BRN,Brunei Darussalam,2023,1.366,1.4018,0.8869,1.278
BTN,Bhutan,2015,0.9608,0.4207,0.5349,0.9894
BTN,Bhutan,2016,1.1061,0.499,0.5107,1.0899
BTN,Bhutan,2017,1.1028,0.5628,0.6261,1.5257
BTN,Bhutan,2018,1.0777,0.2843,0.5484,1.5902
BTN,Bhutan,2019,1.0655,0.2531,0.5845,1.5723
BTN,Bhutan,2020,1.0135,0.3056,0.577,1.6184
BTN,Bhutan,2021,0.7973,0.7109,0.6053,1.507
BTN,Bhutan,2022,1.0093,0.5613,0.6736,1.5148
BTN,Bhutan,2023,0.9828,0.5663,0.6677,1.5314
BWA,Botswana,2015,1.0314,0.4515,0.4832,0.7809
BWA,Botswana,2016,0.9792,0.4974,0.3799,0.867
BWA,Botswana,2017,1.0093,0.3671,0.3606,0.7124
BWA,Botswana,2018,0.9585,0.2545,0.3838,0.7191
BWA,Botswana,2019,1.0953,0.3758,0.433,0.6854
BWA,Botswana,2020,1.0132,0.1679,0.3822,0.6108
BWA,Botswana,2021,1.0414,0.3237,0.4533,0.6651
BWA,Botswana,2022,1.074,0.4395,0.4592,0.6619
BWA,Botswana,2023,1.0384,0.4308,0.3904,0.6858
CAF,Central African Republic,2015,-1.8936,-1.8111,-1.7116,-1.3274
CAF,Central African Republic,2016,-1.7795,-1.8073,-1.851,-1.3051
CAF,Central African Republic,2017,-1.9935,-1.7925,-1.7581,-1.1983
CAF,Central African Republic,2018,-2.1722,-1.7354,-1.7172,-1.2333
CAF,Central African Republic,2019,-2.1359,-1.7803,-1.7653,-1.2342
CAF,Central African Republic,2020,-2.2363,-1.7288,-1.7542,-1.295
CAF,Central African Republic,2021,-2.1269,-1.6732,-1.6887,-1.2466
CAF,Central African Republic,2022,-2.2051,-1.7103,-1.6999,-1.2461
CAF,Central African Republic,2023,-2.2031,-1.735,-1.7595,-1.3114
CAN,Canada,2015,1.2623,1.7309,1.8071,1.8457
CAN,Canada,2016,1.2404,1.7445,1.8009,1.9445
CAN,Canada,2017,1.0897,1.8156,1.7634,1.8814
CAN,Canada,2018,0.964,1.6751,1.7151,1.7902
CAN,Canada,2019,0.9949,1.6973,1.7198,1.7299
CAN,Canada,2020,1.0132,1.5983,1.6191,1.5657
CAN,Canada,2021,0.9623,1.5615,1.5929,1.6163
CAN,Canada,2022,0.7807,1.5666,1.5646,1.6586
CAN,Canada,2023,0.8224,1.5168,1.473,1.6715
CHE,Switzerland,2015,1.3265,1.9675,1.9093,2.0947
CHE,Switzerland,2016,1.2899,1.9718,1.9062,1.943
CHE,Switzerland,2017,1.2423,2.0178,1.8887,1.9452
CHE,Switzerland,2018,1.3195,1.9971,1.8876,1.9697
CHE,Switzerland,2019,1.311,1.9162,1.8627,1.9449
CHE,Switzerland,2020,1.1762,1.972,1.7769,2.0454
CHE,Switzerland,2021,1.1154,1.9908,1.768,1.9588
CHE,Switzerland,2022,1.1597,2.0494,1.7512,2.0094
CHE,Switzerland,2023,1.0714,2.1349,1.7617,2.022
CHL,Chile,2015,0.4249,0.9188,1.2197,1.1825
CHL,Chile,2016,0.4024,0.8338,0.9604,1.0228
CHL,Chile,2017,0.4063,0.8095,0.9815,1.0017
CHL,Chile,2018,0.4128,0.9072,0.9403,0.9582
CHL,Chile,2019,-0.0161,0.8635,0.9242,0.9789
CHL,Chile,2020,0.044,0.705,0.9302,1.1061
CHL,Chile,2021,0.1614,0.5903,0.8899,0.9563
CHL,Chile,2022,0.1321,0.5462,0.6885,0.9681
CHL,Chile,2023,0.1362,0.7176,0.6251,0.9686
CHN,China,2015,-0.5526,0.4174,-0.4085,-0.2999
CHN,China,2016,-0.5022,0.3564,-0.324,-0.2681
CHN,China,2017,-0.2326,0.4169,-0.2552,-0.2916
CHN,China,2018,-0.2986,0.4967,-0.1865,-0.2868
CHN,China,2019,-0.2598,0.5449,-0.2617,-0.3126
CHN,China,2020,-0.4741,0.644,-0.1025,-0.071
CHN,China,2021,-0.5165,0.8079,0.0103,0.0302
CHN,China,2022,-0.4513,0.4942,-0.0422,0.0161
CHN,China,2023,-0.5131,0.679,-0.0401,-0.0054
CIV,Cote d'Ivoire,2015,-0.8351,-0.7475,-0.6515,-0.4624
CIV,Cote d'Ivoire,2016,-0.9092,-0.7364,-0.663,-0.5555
CIV,Cote d'Ivoire,2017,-1.0911,-0.8122,-0.6508,-0.5505
CIV,Cote d'Ivoire,2018,-0.898,-0.6475,-0.6027,-0.5262
CIV,Cote d'Ivoire,2019,-1.0365,-0.5592,-0.6105,-0.5637
CIV,Cote d'Ivoire,2020,-1.0332,-0.5391,-0.6569,-0.5517
CIV,Cote d'Ivoire,2021,-0.715,-0.537,-0.661,-0.3952
CIV,Cote d'Ivoire,2022,-0.5873,-0.3338,-0.474,-0.3387
CIV,Cote d'Ivoire,2023,-0.6318,-0.3595,-0.4612,-0.313
CMR,Cameroon,2015,-0.9899,-0.8338,-0.9983,-1.0966
CMR,Cameroon,2016,-1.0612,-0.8228,-1.0591,-1.1794
CMR,Cameroon,2017,-1.0915,-0.8613,-1.0513,-1.2252
CMR,Cameroon,2018,-1.4018,-0.8576,-1.1031,-1.1631
CMR,Cameroon,2019,-1.5618,-0.8661,-1.1415,-1.2174
CMR,Cameroon,2020,-1.5137,-0.9314,-1.1677,-1.1395
CMR,Cameroon,2021,-1.3941,-0.9046,-1.1164,-1.116
CMR,Cameroon,2022,-1.3796,-0.8815,-1.0389,-1.1297
CMR,Cameroon,2023,-1.4004,-0.9063,-1.0382,-1.1626
COD,"Congo, Dem. Rep.",2015,-2.1389,-1.6429,-1.6004,-1.3112
COD,"Congo, Dem. Rep.",2016,-2.2246,-1.5598,-1.648,-1.367
COD,"Congo, Dem. Rep.",2017,-2.3394,-1.6665,-1.7111,-1.4453
COD,"Congo, Dem. Rep.",2018,-2.0805,-1.5725,-1.8036,-1.5179
COD,"Congo, Dem. Rep.",2019,-1.6264,-1.6558,-1.8149,-1.5555
COD,"Congo, Dem. Rep.",2020,-1.7867,-1.7449,-1.8239,-1.5927
COD,"Congo, Dem. Rep.",2021,-1.6606,-1.7567,-1.7238,-1.5696
COD,"Congo, Dem. Rep.",2022,-1.9845,-1.7467,-1.6718,-1.5449
COD,"Congo, Dem. Rep.",2023,-2.0449,-1.6891,-1.6707,-1.4805
COG,"Congo, Rep.",2015,-0.5291,-1.0703,-1.1361,-1.2712
COG,"Congo, Rep.",2016,-0.5235,-1.1338,-1.1495,-1.2273
COG,"Congo, Rep.",2017,-0.5336,-1.2449,-1.1574,-1.3667
COG,"Congo, Rep.",2018,-0.3483,-1.2002,-1.1341,-1.3781
COG,"Congo, Rep.",2019,-0.2993,-1.1317,-1.1102,-1.4361
COG,"Congo, Rep.",2020,-0.213,-1.2544,-1.1192,-1.4607
COG,"Congo, Rep.",2021,-0.2294,-1.3199,-1.0993,-1.392
COG,"Congo, Rep.",2022,0.039,-1.3701,-1.0903,-1.3598
COG,"Congo, Rep.",2023,0.0192,-1.3343,-1.0206,-1.3453
COL,Colombia,2015,-1.0727,-0.0937,-0.2472,-0.3526
COL,Colombia,2016,-0.8872,-0.037,-0.2661,-0.3846
COL,Colombia,2017,-0.7795,-0.1408,-0.3666,-0.4298
COL,Colombia,2018,-0.8069,-0.1394,-0.3837,-0.3404
COL,Colombia,2019,-0.9795,0.0327,-0.3912,-0.2836
COL,Colombia,2020,-0.7012,0.0085,-0.4914,-0.2525
COL,Colombia,2021,-0.9546,-0.0478,-0.4708,-0.3659
COL,Colombia,2022,-0.63,0.0138,-0.4278,-0.3621
COL,Colombia,2023,-0.7173,-0.0759,-0.4583,-0.3092
COM,Comoros,2015,-0.2445,-1.6415,-0.8529,-0.7699
COM,Comoros,2016,0.022,-1.6782,-1.0484,-0.7068
COM,Comoros,2017,0.0224,-1.677,-1.1026,-0.7104
COM,Comoros,2018,-0.3616,-1.7161,-1.1429,-0.852
COM,Comoros,2019,-0.1768,-1.7533,-1.1572,-1.0584
COM,Comoros,2020,-0.2874,-1.6431,-1.277,-1.2092
COM,Comoros,2021,-0.228,-1.8138,-1.2578,-1.3102
COM,Comoros,2022,-0.2264,-1.6831,-1.3146,-1.245
COM,Comoros,2023,-0.2263,-1.5351,-1.3413,-0.9901
CPV,Cabo Verde,2015,0.8558,0.1683,0.5676,0.9297
CPV,Cabo Verde,2016,0.8712,0.1137,0.2849,0.8441
CPV,Cabo Verde,2017,0.7629,0.1431,0.3529,0.7965
CPV,Cabo Verde,2018,0.8333,0.3409,0.3931,0.7554
CPV,Cabo Verde,2019,0.8596,0.2788,0.4468,0.851
CPV,Cabo Verde,2020,0.8742,0.1993,0.4308,0.8461
CPV,Cabo Verde,2021,0.8944,0.0017,0.3277,1.0164
CPV,Cabo Verde,2022,0.9271,0.0208,0.3987,0.9599
CPV,Cabo Verde,2023,0.9032,0.0137,0.4001,0.9849
CRI,Costa Rica,2015,0.67,0.3066,0.4928,0.6871
CRI,Costa Rica,2016,0.6486,0.2839,0.431,0.6783
CRI,Costa Rica,2017,0.597,0.2225,0.4289,0.4324
CRI,Costa Rica,2018,0.4534,0.3527,0.4678,0.5011
CRI,Costa Rica,2019,0.4303,0.3477,0.5295,0.6269
CRI,Costa Rica,2020,0.7468,0.1965,0.4988,0.6614
CRI,Costa Rica,2021,0.8604,0.2229,0.4237,0.4703
CRI,Costa Rica,2022,0.9566,0.0526,0.4359,0.4659
CRI,Costa Rica,2023,0.9842,0.2602,0.3893,0.6537
CUB,Cuba,2015,0.6348,0.0028,-0.7181,0.0384
CUB,Cuba,2016,0.6731,-0.1246,-0.4589,0.1356
CUB,Cuba,2017,0.6385,-0.1986,-0.4497,0.2326
