school_norm,name_norm,profile_url,country_code,year
drake,juan trasobares,https://www.tfrrs.org/athletes/8263265/Drake/Juan_Trasobares_.html,ESP,2022
drake,anastasia kirillov,https://www.tfrrs.org/athletes/7721736/Drake/Anastasia_Kirillov.html,ARG,2021
drake,centaine noom duckworth,https://www.tfrrs.org/athletes/7975808/Drake/Centaine_Noom-Duckworth.html,NZL,2021
drake,lara smits,https://www.tfrrs.org/athletes/8690921/Drake/Lara_Smits.html,NLD,2023
duke,michael scherk,https://www.tfrrs.org/athletes/8705109/Duke/Michael_Scherk.html,CAN,2023
duke,iris downes,https://www.tfrrs.org/athletes/8619122/Duke/Iris_Downes.html,GBR,2023
duke,gemma tutton,https://www.tfrrs.org/athletes/8705138/Duke/Gemma_Tutton.html,GBR,2023
east carolina,shakiel dacres,https://www.tfrrs.org/athletes/8701485/East_Carolina/Shakiel_Dacres.html,JAM,2023
east carolina,brandon gayle,https://www.tfrrs.org/athletes/8701486/East_Carolina/Brandon_Gayle.html,JAM,2023
east tenn st,jason bowers,https://www.tfrrs.org/athletes/8672218/East_Tenn_St/Jason_Bowers.html,ZAF,2023
east texas a m,kingsley ayebide,https://www.tfrrs.org/athletes/8708523/East_Texas_A&M/Kingsley_Ayebide.html,NGA,2023
east texas a m,enoch fosuhene,https://www.tfrrs.org/athletes/8708530/East_Texas_A&M/Enoch_Fosuhene.html,GHA,2023
east texas a m,philip krenek,https://www.tfrrs.org/athletes/8362924/East_Texas_A&M/Philip_Krenek.html,CZE,2022
east texas a m,oguz uyar,https://www.tfrrs.org/athletes/8708560/East_Texas_A&M/Oguz_Uyar.html,TUR,2023
east texas a m,justin vincent,https://www.tfrrs.org/athletes/8708561/East_Texas_A&M/Justin_Vincent.html,FRA,2023
eastern kentucky,cesc boix,https://www.tfrrs.org/athletes/8586622/Eastern_Kentucky/Cesc_Boix.html,ESP,2023
eastern kentucky,taha er raouy,https://www.tfrrs.org/athletes/8588314/Eastern_Kentucky/Taha_Er_Raouy.html,MAR,2023
eastern kentucky,kristian imroth,https://www.tfrrs.org/athletes/8586626/Eastern_Kentucky/Kristian_Imroth.html,GBR,2023
eastern kentucky,mohammed jouhari,https://www.tfrrs.org/athletes/8014347/Eastern_Kentucky/Mohammed_Jouhari.html,MAR,2023
eastern kentucky,khadija ennasri,https://www.tfrrs.org/athletes/8723369/Eastern_Kentucky/Khadija_Ennasri.html,MAR,2023
eastern kentucky,senda garma,https://www.tfrrs.org/athletes/8731204/Eastern_Kentucky/Senda_Garma.html,TUN,2023
eastern kentucky,irene rubio miralles,https://www.tfrrs.org/athletes/8259990/Eastern_Kentucky/Irene_Rubio-Miralles.html,ESP,2022
eastern michigan,ronan codyre,https://www.tfrrs.org/athletes/8583115/Eastern_Michigan/Ronan_Codyre.html,NZL,2023
eastern michigan,samuel jeffery,https://www.tfrrs.org/athletes/8679263/Eastern_Michigan/Samuel_Jeffery.html,CAN,2023
